,MW,SLogP,nHBDon,nHBAcc,TopoPSA,nRot,naRing,QED
0,300.2089301360008,5.602600000000005,1,1,37.3,5,0,0.5295731957656133
1,181.970750672,-0.2476000000000001,4,4,152.2,3,0,0.45410984832183593
3,228.115029752,3.423700000000002,2,2,40.46,2,2,0.8263814942234685
5,335.0762187840005,2.274400000000001,3,3,131.73,5,2,0.44510220593065264
6,399.0363835320003,3.7996000000000016,2,3,74.78,4,2,0.7690781551135054
7,425.05203359600034,3.750200000000002,1,3,65.99,3,2,0.762614206533518
8,239.025228768,1.3743,3,4,109.0,1,2,0.5151597788599056
9,250.0299798,1.9305999999999996,2,4,82.98,2,2,0.8536245567923201
10,276.0301698280002,3.5005000000000015,1,3,72.24,3,2,0.6886523017493499
11,292.02508444800026,3.206100000000001,2,4,92.47,3,2,0.5159301507121228
12,345.06464896800037,2.9365000000000014,1,3,65.99,5,2,0.9064427866777683
13,290.1306798160005,4.452100000000003,2,2,40.46,3,3,0.6994914080448728
15,487.19459842400073,7.217500000000006,1,3,42.230000000000004,9,3,0.19676899503363623
16,457.1476482320006,6.047200000000004,1,3,42.23,3,3,0.3845740358025764
17,251.131014164,3.9548000000000023,0,2,22.0,3,3,0.6458368128234665
18,265.14666422800025,4.263220000000004,0,2,22.0,3,3,0.6483695431220146
19,279.1623142920006,4.517200000000004,0,2,22.0,4,3,0.6436520762841894
20,293.17796435600064,5.078200000000004,0,2,22.0,4,3,0.6148967437857643
21,281.14157884800056,3.4471000000000025,1,3,42.230000000000004,4,3,0.7442475759225561
22,307.1936144200007,5.252300000000005,0,2,22.0,3,3,0.6055037874939609
23,389.0850479760004,4.486800000000003,1,3,42.230000000000004,2,3,0.5185944924645045
24,443.0567825400003,5.029200000000002,1,3,42.23,2,3,0.44622287331456345
25,417.1163481040005,5.267000000000004,1,3,42.230000000000004,4,3,0.46448814111151127
26,445.1476482320006,6.047200000000005,1,3,42.230000000000004,6,3,0.28530978484499553
27,374.04523170800053,3.942400000000003,0,2,38.57000000000001,3,2,0.7507126245366642
28,315.0565288960004,3.535700000000001,3,4,95.01,3,3,0.6436013873196544
29,426.18562491200083,4.050220000000003,1,4,87.18,6,1,0.4232112341344051
30,377.1045417080005,1.1955000000000002,2,6,127.17999999999998,6,2,0.7302212284834196
31,476.1583511080006,5.112200000000003,4,5,142.03,7,3,0.37098823062328873
32,357.0531748320003,2.5258000000000003,1,8,148.38,6,3,0.5313512663535446
33,335.10923316400044,4.566940000000002,1,4,75.98,3,4,0.5581240529175759
34,492.9524322240005,4.1723000000000035,2,4,77.84,6,2,0.5905007805339096
35,527.1627252800006,5.5715800000000035,2,7,135.46,6,5,0.29539986774708504
36,357.1874834840008,4.633760000000004,1,3,76.52,6,2,0.4650747800866179
