,IC50_nM
0,199.53
1,31900.0
3,10000.0
5,80000.0
6,10000.0
7,883.0
8,80000.0
9,10000.0
10,86.0
11,131.0
12,10000.0
13,10000.0
15,20000.0
16,5800.0
17,14500.0
18,16800.0
19,9200.0
20,11900.0
21,20000.0
22,10400.0
23,20000.0
24,9000.0
25,3900.0
26,4700.0
27,54900.0
28,24100.0
29,77100.0
30,7900.0
31,25200.0
32,80000.0
33,80000.0
34,41500.0
35,42000.0
36,80000.0
37,22400.0
38,80000.0
39,80000.0
40,32000.0
41,21300.0
42,77000.0
43,76000.0
44,3300.0
45,18200.0
46,37100.0
47,56900.0
48,80000.0
49,40000.0
50,80000.0
51,12100.0
52,15700.0
53,80000.0
54,80000.0
55,37900.0
56,44300.0
57,11100.0
58,1550.0
59,2500.0
60,80000.0
61,33500.0
62,80000.0
63,80000.0
64,10600.0
65,80000.0
67,80000.0
68,63900.0
69,80000.0
70,80000.0
71,36100.0
72,41300.0
73,41200.0
74,25500.0
75,80000.0
76,72300.0
77,23800.0
78,80000.0
79,29700.0
80,13300.0
81,80000.0
82,22000.0
83,80000.0
84,80000.0
85,80000.0
86,80000.0
87,80000.0
88,80000.0
89,50000.0
90,80000.0
91,80000.0
92,80000.0
93,80000.0
94,80000.0
95,7050.0
96,6950.0
97,80000.0
98,80000.0
99,56000.0
100,1470.0
101,80000.0
102,76500.0
103,80000.0
104,80000.0
105,39300.0
106,57000.0
107,80000.0
108,33800.0
109,30600.0
111,1548.82
112,79600.0
113,71700.0
114,80000.0
115,12600.0
116,8340.0
117,80000.0
118,31100.0
119,80000.0
120,4990.0
121,58200.0
122,80000.0
123,15700.0
124,80000.0
125,80000.0
126,72800.0
127,80000.0
128,57000.0
129,80000.0
130,80000.0
131,53800.0
132,32100.0
133,25900.0
134,27000.0
135,21800.0
136,36900.0
137,80000.0
138,6400.0
139,34400.0
140,80000.0
141,80000.0
142,40300.0
143,60500.0
144,80000.0
145,80000.0
146,80000.0
147,42000.0
148,80000.0
149,1100.0
150,80000.0
151,44300.0
152,41500.0
153,80000.0
154,78300.0
155,15500.0
156,5830.0
157,1940.0
158,2080.0
159,80000.0
160,20000.0
161,80000.0
162,80000.0
163,80000.0
164,32500.0
165,20000.0
166,73000.0
167,80000.0
168,26300.0
169,64800.0
170,7230.0
171,9200.0
172,10000.0
173,1100.0
174,5700.0
175,23300.0
176,50000.0
177,38400.0
178,80000.0
179,15800.0
180,80000.0
181,80000.0
182,10000.0
183,80000.0
184,80000.0
185,80000.0
186,80000.0
187,80000.0
188,80000.0
189,22900.0
190,80000.0
191,20000.0
192,29400.0
193,15700.0
194,14900.0
195,32800.0
196,21500.0
197,13600.0
198,57900.0
199,24100.0
200,28500.0
201,19700.0
202,44700.0
203,25500.0
204,80000.0
205,23600.0
206,45600.0
207,13700.0
209,20000.0
210,57.0
211,1000.0
212,1000.0
213,96.0
214,1000.0
215,1000.0
216,1000.0
217,1000.0
218,1000.0
219,1000.0
220,1000.0
221,106.0
222,1000.0
224,3300.0
225,30000.0
226,6600.0
227,4000.0
228,800.0
229,1000.0
230,800.0
231,1700.0
232,1000.0
233,22500.0
234,29000.0
235,50000.0
236,24400.0
237,12800.0
238,4700.0
239,800.0
240,245.0
241,520.0
242,190.0
243,50.0
244,51.0
245,34.0
246,748.0
247,5000.0
248,520.0
249,4000.0
250,3000.0
251,10000.0
252,10000.0
253,10000.0
254,519.0
255,467.0
256,900.0
257,10000.0
258,10000.0
259,9000.0
260,329.0
261,2000.0
262,10000.0
263,10000.0
264,2000.0
265,7.943
266,6.31
267,12.59
268,10.0
269,25.12
271,39.81
272,12.59
273,39.81
274,31.62
275,794.33
276,7943.28
278,10.0
279,12.59
280,19.95
281,25.12
282,10.0
283,12.59
284,15.85
286,25118.86
287,25118.86
288,1584.89
289,7943.28
290,1995.26
291,3981.07
292,3981.07
293,794.33
294,1258.93
295,6309.57
296,10000.0
297,5011.87
298,1995.26
299,630.96
300,398.11
301,10000.0
302,6309.57
303,2511.89
304,25118.86
305,25118.86
306,25118.86
307,10000.0
308,7943.28
309,5011.87
310,3981.07
311,1000.0
312,1584.89
313,5011.87
314,25118.86
315,1258.93
316,12589.25
317,20.0
318,1259.0
319,100.0
320,79.0
321,16.0
322,5.0
323,3.0
324,8.0
325,4.0
326,6.0
327,6.0
328,6.0
329,4.0
330,6.0
331,6.0
332,25000.0
333,25000.0
334,13.0
336,6.0
337,20.0
338,4500.0
339,10000.0
340,80000.0
341,56640.0
342,1000.0
344,150.0
345,7560.0
349,14090.0
350,23770.0
351,52260.0
354,290.0
355,5930.0
356,156300.0
360,2510.0
362,90.0
364,10.0
366,4900.0
367,13220.0
369,174400.0
372,11140.0
373,11640.0
374,15170.0
375,2440.0
376,168270.0
377,81690.0
378,37540.0
379,46870.0
380,18270.0
381,142210.0
382,9050.0
383,5150.0
384,9300.0
385,20000.0
386,6000.0
387,4200.0
388,13000.0
389,1000.0
390,690.0
391,2600.0
392,4100.0
393,370.0
394,130.0
395,1100.0
396,920.0
397,31.0
398,160.0
399,610.0
400,5400.0
401,3600.0
402,1500.0
403,10000.0
404,7000.0
405,2000.0
406,10000.0
407,10000.0
408,32.0
409,650.0
410,1400.0
411,5500.0
412,46.0
413,120.0
414,31.0
415,1000.0
416,1800.0
417,91.0
418,430.0
419,70.0
420,90.0
421,12000.0
422,8.7
423,1.1
424,15000.0
425,15000.0
426,15000.0
428,10.0
429,3.162
430,3.162
431,630.96
432,16.0
433,1.0
434,33.0
435,1.0
436,1.0
437,1.0
438,1.0
440,100.0
441,7.0
442,6.0
443,10000.0
444,118.0
445,291.0
446,387.0
447,480.0
448,235.0
449,158.0
450,96.0
451,117.0
452,1100.0
453,47.0
454,285.0
455,1100.0
456,29.0
457,60.0
458,5700.0
459,146.0
460,95.0
461,120.0
462,132.0
463,30.0
464,700.0
465,4200.0
466,5100.0
467,350.0
468,6.5
469,31.0
470,2.5
471,37.0
472,66.0
473,158.0
474,510.0
475,440.0
476,5600.0
477,420.0
478,170.0
479,370.0
480,51.0
481,93.0
482,51.0
483,42.0
484,41.0
485,430.0
486,190.0
487,340.0
488,160.0
489,21.0
490,70.0
491,61.0
492,34.0
493,9.2
494,6.0
495,33.0
496,6.0
497,7.0
498,11.0
499,14.0
500,56.0
501,8.0
502,16.0
503,21.0
504,14.0
505,15.0
506,170.0
507,180.0
508,12.0
509,180.0
510,5400.0
511,3500.0
512,2200.0
513,1900.0
514,590.0
515,440.0
516,1000.0
517,5600.0
518,16000.0
519,18000.0
521,249.0
522,15.0
523,106.0
524,76.0
525,10.0
526,65.0
527,25.0
528,218.0
529,17.0
530,55.0
531,9.0
532,22.0
533,19.0
534,92.0
535,36.0
536,6.0
537,29.0
538,49.0
539,36.0
540,24.0
541,280.0
542,115.0
543,76.0
544,31.0
